"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "HTML", "SCSS", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v4\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v5\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v6\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v7\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v9\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\package-lock.json", "JSON", 25953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25954
"c:\Users\mail\Desktop\mathe-app\mathapp\package.json", "JSON", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\mail\Desktop\mathe-app\mathapp\sample-quizzes\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 8, 57
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\app.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\app.component.html", "HTML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\app.component.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 0, 10, 5, 49
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\app.module.ts", "TypeScript", 0, 0, 0, 102, 0, 0, 0, 0, 0, 16, 8, 126
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\change-bg.directive.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\classselection2\classselection2.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\classselection2\classselection2.component.html", "HTML", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 28
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\classselection2\classselection2.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\classselection2\classselection2.component.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\mail\Desktop\mathe-app\mathapp\src\app\components\classselection\classes.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
